"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/bursa-mudanya-yeni-kiralik/daire/139194-245","15","17.000","08-05-2025","Kiralık Daire","2 +
                          1","105 m²","25
                        Yaşında","Bahçe Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kurtuluş'tan Yeni Mh'de Kiralık 2+1 Bahçe Katı Daire","Bursa / Mudanya / Yeni Mah.","","","",""
"https://www.hepsiemlak.com/bursa-gemlik-cumhuriyet-kiralik/daire/147767-51","14","19.000","08-05-2025","Kiralık Daire","3 +
                          1","140 m²","25
                        Yaşında","6. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Gemlik Prestij Emlaktan Deniz Manzaralı Kiralık 3+1 Daire","Bursa / Gemlik / Cumhuriyet Mah.","","","",""
"https://www.hepsiemlak.com/bursa-yildirim-davutdede-kiralik/daire/46130-1118","30","12.000","08-05-2025","Kiralık Daire","2 +
                          1","140 m²","30
                        Yaşında","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Bursa Yıldırım Davutdede Cadde Üzerinde Teraslı Manzaralı Daire","Bursa / Yıldırım / Davutdede Mah.","https://www.hepsiemlak.com/emlak-ofisi/bursa-cagri-emlak-46130","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/3/1/6/4/0/85446712-1508-4278-abc9-8e9f7c4780c6.jpg","Bursa Çağrı Emlak",""
"https://www.hepsiemlak.com/bursa-nilufer-ucevler-kiralik/daire/126756-571","27","20.000","08-05-2025","Kiralık Daire","2 +
                          1","120 m²","10
                        Yaşında","En Üst Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Cb Focus'tan Nilüfer / Üçevler 'de Manzaralı 2+1 Kiralık Daire","Bursa / Nilüfer / Üçevler Mah.","https://www.hepsiemlak.com/emlak-ofisi/coldwell-banker-focus-gayrimenkul-126756/umit-kesmez-3173819","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/6/9/2/4/4/4/4/bd6cb35e-41ee-4a82-8a7b-048a40e6408d.jpg","Coldwell Banker Focus Gayrimenkul","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/1/8/3/7/1/3/27efda01-0154-4fcc-b858-0078e7aa5424.jpg"
"https://www.hepsiemlak.com/bursa-gemlik-hisar-kiralik/daire/147767-55","20","20.000","08-05-2025","Kiralık Daire","3 +
                          1","160 m²","7
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Gemlik Prestij Emlaktan Hisar Mahallesinde 3+1 140 M2 Kiralık Daire","Bursa / Gemlik / Hisar Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/3/5/3/1/5/4/4/1745321335-8811932-44513532.jpeg","",""
"https://www.hepsiemlak.com/bursa-yildirim-akcaglayan-kiralik/daire/122271-240","14","6.000","08-05-2025","Kiralık Daire","1 +
                          1","60 m²","30
                        Yaşında","Bodrum ve Zemin","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Bengisu Gayrimenkul Den Kiralık Daıre","Bursa / Yıldırım / Akçağlayan Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/1/8/8/1/3/2/4/1709804772914-42318812.jpg","",""
"https://www.hepsiemlak.com/bursa-osmangazi-intizam-kiralik/daire/115132-200","18","10.000","08-05-2025","Kiralık Daire","2 +
                          1","85 m²","30
                        Yaşında","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Bursa Osmangazi İntizam Mahallesi Kiralık Daire","Bursa / Osmangazi / İntizam Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/7/8/6/9/5/4/4/1746707010471-44596875.jpg","",""
"https://www.hepsiemlak.com/bursa-yildirim-maltepe-kiralik/mustakil-ev/122271-312","22","13.000","08-05-2025","Kiralık Müstakil Ev","3 +
                          1","120 m²","30
                        Yaşında","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Bengisu Gayrimenkul Den Kiralık Mustakil Ev","Bursa / Yıldırım / Maltepe Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/3/0/7/0/3/4/4/1741600271056-44307037.jpg","",""
"https://www.hepsiemlak.com/bursa-inegol-akhisar-kiralik/daire/156515-2","1","12.000","08-05-2025","Kiralık Daire","1 +
                          1","45 m²","Sıfır Bina","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İnegöl Atrium Rezıdance","Bursa / İnegöl / Akhisar Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/9/1/2/9/3/4/4/1743038756110-44392198.jpg","",""
"https://www.hepsiemlak.com/bursa-yildirim-sukraniye-kiralik/daire/156515-3","3","10.000","08-05-2025","Kiralık Daire","1 +
                          1","30 m²","10
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Davut Dede Metro Ya 100 Mt Mesafede","Bursa / Yıldırım / Şükraniye Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/6/6/6/9/3/4/4/1743107646585-44396665.jpg","",""
