city,district,neighborhood,room,living_room,area,age,floor,price
ankara,cankaya,yukari_bahcelievler,3,1,115,35,2,30000
ankara,altindag,dogantepe,3,1,105,0,2,25000
ankara,cankaya,oran,1,1,45,0,0,25000
ankara,cankaya,yukari_bahcelievler,1,1,60,0,1,25000
ankara,cankaya,mursel_uluc,3,1,120,20,3,23000
ankara,golbasi,kizilcasar,1,1,50,0,1,25000
ankara,mamak,durali_alic,3,1,140,10,5,23000
ankara,altindag,gunesevler,3,1,120,13,-1,19000
ankara,cankaya,yasamkent,1,1,55,0,1,27500
ankara,altindag,gunesevler,3,1,114,15,3,18500
ankara,golbasi,hacilar,2,1,130,10,3,43000
ankara,cankaya,sehit_cevdet_ozdemir,1,1,64,5,2,26000
ankara,cankaya,emek,1,1,65,35,1,18000
ankara,yenimahalle,ragip_tuzun,2,1,80,20,1,19000
ankara,mamak,durali_alic,3,1,154,15,2,25000
ankara,golbasi,bahcelievler,3,1,148,26,3,25000
ankara,cankaya,emek,3,1,110,30,4,36000
ankara,cankaya,ilkadim,2,1,95,21,1,30000
ankara,cankaya,oran,1,1,85,15,3,43000
ankara,sincan,osmanli,3,1,110,30,4,17000
ankara,cankaya,guvenevler,2,1,110,30,0,32000
ankara,golbasi,kizilcasar,2,1,104,0,2,35000
ankara,golbasi,kizilcasar,2,1,109,0,1,35000
ankara,golbasi,incek,1,1,55,0,1,30000
ankara,cankaya,guvenevler,2,1,100,25,4,25000
ankara,cankaya,nasuh_akar,3,1,115,35,3,20000
ankara,golbasi,incek,1,1,55,2,2,25000
ankara,golbasi,incek,1,1,50,1,0,20000
ankara,cankaya,ovecler,3,1,125,33,3,25000
ankara,cankaya,yukari_bahcelievler,2,1,90,7,-1,35000
ankara,kecioren,ayvali,3,1,125,28,1,20000
ankara,sincan,aksemsettin,3,1,125,17,3,26500
ankara,altindag,besikkaya,3,1,125,13,3,16500
ankara,cankaya,ilkadim,3,1,130,26,3,35000
ankara,cankaya,gokturk,3,1,115,27,2,29000
ankara,polatli,cumhuriyet,3,1,125,30,5,15000
ankara,etimesgut,seker,2,1,100,6,3,32000
ankara,etimesgut,sehit_osman_avci,1,1,50,32,3,24000
ankara,cankaya,oran,3,1,110,28,1,36000
ankara,cankaya,yukari_bahcelievler,1,1,70,5,0,32000
ankara,kecioren,baglarbasi,3,1,110,15,1,12500
ankara,etimesgut,altay,1,1,72,10,3,22000
ankara,kecioren,etlik,3,1,170,5,3,25000
ankara,cankaya,huzur,3,1,100,25,-1,21000
ankara,etimesgut,baglica,2,1,110,6,1,33000
ankara,yenimahalle,demetlale,3,1,115,35,5,18000
ankara,cankaya,cevizlidere,3,1,155,16,1,35000
ankara,mamak,peyami_safa,1,1,100,14,-2,17500
ankara,mamak,aksemsettin,1,1,66,11,3,27500
ankara,cankaya,gokkusagi,2,1,85,18,1,25000
ankara,cankaya,cevizlidere,3,1,160,20,3,32000
ankara,mamak,saimekadin,3,1,100,30,1,15000
ankara,cankaya,keklik_pinari,3,1,100,11,1,22000
ankara,cankaya,yukari_dikmen,1,1,76,5,3,38000
ankara,etimesgut,altay,1,1,70,8,4,23500
ankara,altindag,zubeyde_hanim,2,1,90,35,1,22000
ankara,kecioren,kamil_ocak,2,1,105,28,-2,16000
ankara,cankaya,gokkusagi,3,1,155,15,3,35000
ankara,yenimahalle,ragip_tuzun,1,1,50,1,2,29500
ankara,golbasi,segmenler,2,1,90,4,0,35000
ankara,altindag,aydinlikevler,2,1,100,25,0,13000
ankara,cankaya,emek,1,1,45,6,-1,27000
ankara,golbasi,segmenler,2,1,90,4,1,26000
ankara,cankaya,bagcilar,2,1,85,25,0,17000
ankara,cankaya,murat,3,1,110,25,2,25000
ankara,mamak,zirvekent,1,1,65,10,0,9500
ankara,yenimahalle,gazi,2,1,85,15,3,25000
ankara,polatli,sehitlik,3,1,135,18,2,15000
