"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-location","img-wrp href","he-lazy-image src 2","he-lazy-image src 3","listing-card--owner-info__firm-name","list-view-header"
"https://www.hepsiemlak.com/izmir-karabaglar-bahcelievler-kiralik/daire/24845-1474","19","25.000","08-05-2025","Kiralık Daire","2 +
                          1","95 m²","5
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İzmir / Karabağlar / Bahçelievler Mah.","https://www.hepsiemlak.com/emlak-ofisi/antre-emlak-24845/tahsin-yazici-24845","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/4/8/4/2/0/d4ae12fb-8cac-4937-a078-aeafbf8402d5.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/5/4/8/4/2/0/d4a1a04e-d60b-493f-aa22-ffd008f70fb5.jpg","Antre Emlak",""
"https://www.hepsiemlak.com/izmir-cesme-alacati-kiralik/villa/36744-4904","50","875.000","04-05-2025","Kiralık Villa","4 +
                          1","140 m²","7
                        Yaşında","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İzmir / Çeşme / Alaçatı Mah.","https://www.hepsiemlak.com/emlak-ofisi/arda-gayrimenkul-yatirim-danismanligi-36744","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/4/7/6/3/0/877a05ac-81bf-4041-917d-b7308f59f87f.jpg","","Arda Gayrimenkul Yatırım Danışmanlığı",""
"https://www.hepsiemlak.com/izmir-buca-hurriyet-kiralik/daire/158138-2","25","27.000","24-04-2025","Kiralık Daire","3 +
                          1","120 m²","11
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İzmir / Buca / Hürriyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/turpa-cosmos-emlak-158138","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/3/1/8/5/1/fb87e17a-92e7-4135-9e9f-8155f5b327f9.jpg","","Turpa Cosmos Emlak",""
"https://www.hepsiemlak.com/izmir-gaziemir-fatih-kiralik/villa/157962-3","60","50.000","24-04-2025","Kiralık Villa","4 +
                          1","180 m²","Sıfır Bina","","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","İzmir / Gaziemir / Fatih Mah.","https://www.hepsiemlak.com/emlak-ofisi/feyzi-erdogan-gayrimenkul-danismanligi-157962","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/6/4/7/1/2/5/4/4/579095dd-8022-46b2-92c3-c3c48aeb35f8.jpg","https://www.hepsiemlak.com/img/loadings/noImage55-55.png","Feyzi Erdoğan Gayrimenkul Danışmanlığı",""
"https://www.hepsiemlak.com/izmir-balcova-onur-kiralik/daire/145613-81","12","21.000","08-05-2025","Kiralık Daire","1 +
                          1","70 m²","30
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/0/7/8/7/5/4/4/1746453983931-44578706.jpg","EİDS onaylı","İzmir / Balçova / Onur Mah.","https://www.hepsiemlak.com/emlak-ofisi/caglar-emlak-145613/suleyman-caglar-celtir-4125841","https://hecdn01.hemlak.com/img/eids-logo-mini.png","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/1/4/8/5/2/1/4/5b122ea8-76f0-478b-92dc-ca1f49f289e8.jpg","Çağlar Emlak","Balçova Onur Mah Eşyalı Kiralık Daire"
"https://www.hepsiemlak.com/izmir-torbali-muratbey-kiralik/daire/117634-184","53","34.000","07-05-2025","Kiralık Daire","3 +
                          1","180 m²","5
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/8/2/2/3/4/4/4/f5680e90-a399-4ea2-8259-fc2dcd2d30a7.jpg","EİDS onaylı","İzmir / Torbalı / Muratbey Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","İzmir Torbalı Muratbey Mahallesinde Havuzlu Site İçerisinde Lüks 3+1 Daire!"
"https://www.hepsiemlak.com/izmir-karsiyaka-bahcelievler-kiralik/daire/60980-102","26","35.000","05-05-2025","Kiralık Daire","2 +
                          1","110 m²","21
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/9/7/9/1/0/7/3/e4a237b5-8881-4cbb-9a5f-cdc549edbf91.jpg","EİDS onaylı","İzmir / Karşıyaka / Bahçelievler Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Karşıyaka Rüştü Şardağ Caddesinde 2+1 Önü Açık Ferah Doğalgazlı 21m2 Geniş Mutfaklı"
"https://www.hepsiemlak.com/izmir-buca-efeler-kiralik/daire/69951-507","18","30.000","21-04-2025","Kiralık Daire","3 +
                          1","105 m²","38
                        Yaşında","Çatı Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/7/2/0/9/4/4/4/1744930108831-44490276.jpg","EİDS onaylı","İzmir / Buca / Efeler Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Şirinyer İzban Metro Pazaryeri Karşısında Forbes Girşinde 3+1 Kiralık Daire.Eski Bina, Asansör Yok."
"https://www.hepsiemlak.com/izmir-menemen-kasimpasa-kiralik/daire/109304-345","52","30.000","06-05-2025","Kiralık Daire","3 +
                          1","140 m²","6
                        Yaşında","Giriş Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/8/0/2/5/5/4/4/1746008946752-44552086.jpg","EİDS onaylı","İzmir / Menemen / Kasımpaşa Mah.","","https://hecdn01.hemlak.com/img/eids-logo-mini.png","","","Menemen Kasımpaşa Mahallesi'nde Kiralık Daire! İyi Bir Yaşam Alanı İsteyenlere ..."
"https://www.hepsiemlak.com/izmir-karsiyaka-zubeyde-hanim-kiralik/daire/155584-16","18","25.000","08-05-2025","Kiralık Daire","1 +
                          1","60 m²","2
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/0/9/6/9/5/4/4/1746707245-788494-44596908.jpeg","EİDS onaylı","İzmir / Karşıyaka / Zübeyde Hanım Mah.","https://www.hepsiemlak.com/emlak-ofisi/atakan-caliskan-gayrimenkul-155584","https://hecdn01.hemlak.com/img/eids-logo-mini.png","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/8/5/5/5/1/8c8afcc8-bbea-48d8-b42e-90af0ce6a443.jpg","Atakan Çalışkan Gayrimenkul","Karşıyaka Zübeyde Hanım Mahallesi Eşyalı Kiralık 1+1 Daire"
