"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/antalya-alanya-saray-kiralik/daire/28821-668","24","18.000","08-05-2025","Kiralık Daire","2 +
                          1","120 m²","30
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Alanya Merkez Başkent Hastanesi Yakını Kiralık 2+1 Boş Daire","Antalya / Alanya / Saray Mah.","","","",""
"https://www.hepsiemlak.com/antalya-konyaalti-liman-kiralik/daire/150951-60","54","35.000","06-05-2025","Kiralık Daire","3 +
                          1","165 m²","22
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Fema'dan Sahile 800 Metre Uzaklıkta Kiralık Daireler - For Rent","Antalya / Konyaaltı / Liman Mah.","https://www.hepsiemlak.com/emlak-ofisi/fema-gayrimenkul-150951","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/5/9/0/5/1/453cfff6-c89f-48e7-9af0-6aee1dc5a9f9.jpg","Fema Gayrimenkul",""
"https://www.hepsiemlak.com/antalya-muratpasa-guvenlik-kiralik/daire/74192-335","16","25.500","30-04-2025","Kiralık Daire","Stüdyo","50 m²","2
                        Yaşında","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Soğuksu Ana Cadde Merkezi Konum Üzeri Katta 1+1 Eşyalı","Antalya / Muratpaşa / Güvenlik Mah.","","","",""
"https://www.hepsiemlak.com/antalya-kepez-aktoprak-kiralik/daire/76239-1224","40","23.000","08-05-2025","Kiralık Daire","3 +
                          1","200 m²","10
                        Yaşında","6. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kepez Aktoprak'ta Tramvaya Yakın 200m2 Çok Geniş Ve Ferah  Kiralık Daire","Antalya / Kepez / Aktoprak Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/8/9/5/8/5/4/4/1746549615066-44585984.jpg","",""
"https://www.hepsiemlak.com/antalya-kepez-fevzi-cakmak-kiralik/daire/34579-42304","35","11.500","08-05-2025","Kiralık Daire","1 +
                          1","60 m²","4
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Antalya Kepez Fevzi Çakmakta Kiralık 1+1 Katta Daire No.20447","Antalya / Kepez / Fevzi Çakmak Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/2/7/1/9/8/4/4/4/5e8ca362-9005-409b-9b72-142264904322.jpg","",""
"https://www.hepsiemlak.com/antalya-konyaalti-uncali-kiralik/daire/90618-5362","38","40.000","08-05-2025","Kiralık Daire","4 +
                          1","200 m²","20
                        Yaşında","6. Kat","","","","By Ünal'dan_sun Cıty'de_havuzlu Site İçerisinde_kiralık 4+1 Dubleks Daire","Antalya / Konyaaltı / Uncalı Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/4/5/7/8/6/4/4/4/49afe9ee-0505-41f5-a544-60b229154798.jpg","",""
"https://www.hepsiemlak.com/antalya-kepez-erenkoy-kiralik/daire/158650-3","25","13.500","08-05-2025","Kiralık Daire","2 +
                          1","90 m²","5
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Erenköy'de Caddeye 200m. Geniş Teraslı 2+1 Daire","Antalya / Kepez / Erenköy Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/0/2/8/9/5/4/4/ae169849a9f3bb07a498482bc12c24f49813664df3dbffd6dd8a17e782ca9f0b2ef848e5b4a3b6c91fb10863a35b5a82.jpg","",""
"https://www.hepsiemlak.com/antalya-kepez-gazi-kiralik/daire/158650-7","22","12.000","08-05-2025","Kiralık Daire","1 +
                          1","55 m²","Sıfır Bina","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Sütçüler-Gazi'de Tramvay Ve Şifa Hast 400m 1.Kat Sıfır 1+1 Daire","Antalya / Kepez / Gazi Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/1/2/8/9/5/4/4/5e9da650bb598bf59c9834550d83874d1a685215e91de283a37324d1de2cbe9aa898f42cad3393a4f1fcc3841a7b6490.jpg","",""
"https://www.hepsiemlak.com/antalya-muratpasa-soguksu-kiralik/daire/5498-1314","28","20.000","08-05-2025","Kiralık Daire","2 +
                          1","110 m²","15
                        Yaşında","Giriş Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Antalya Muratpaşa Soğuksu Mah.310 Sokakta Kiralık 2+1 Ayrı Mutfaklı Giriş Katı Daire","Antalya / Muratpaşa / Soğuksu Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/3/3/9/1/5/4/4/5e643f3d-cb8b-40da-b4e2-b3d152b27fae.jpg","",""
"https://www.hepsiemlak.com/antalya-kumluca-merkez-kiralik/daire/99705-521","26","20.000","08-05-2025","Kiralık Daire","2 +
                          1","104 m²","1
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kumluca'da   Kiralık   Ebeveyn Banyolu 2+1 Sıfır Daire","Antalya / Kumluca / Merkez Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/0/6/7/9/5/4/4/bef8bb00-faf4-48f1-abed-3b83b4f5ac56.jpg","",""
