"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","eids-badge__description","eids-badge__label","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3","listing-card--owner-info__name","list-view-header"
"https://www.hepsiemlak.com/istanbul-bahcelievler-yenibosna-merkez-kiralik/residence/110208-3704","11","35.000","08-05-2025","Kiralık Residence","1 +
                          1","73 m²","12
                        Yaşında","Ara Kat","İstanbul / Bahçelievler / Yenibosna Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/ak-gayrimenkul-110208","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/0/2/0/1/1/6ca216fe-1aaa-45ef-8b34-7280b5560e7f.jpg","Ak Gayrimenkul","","","","","","",""
"https://www.hepsiemlak.com/istanbul-sariyer-poligon-kiralik/daire/8272-26694","19","180.000","08-05-2025","Kiralık Daire","2 +
                          1","159 m²","6
                        Yaşında","Bahçe Katı","İstanbul / Sarıyer / Poligon Mah.","https://www.hepsiemlak.com/emlak-ofisi/mansiontr-8272/ipek-karaca-8272","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Mansıontr","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/7/2/8/0/0/64147105-e02f-4162-98c1-c0d733ae544e.jpg","https://www.hepsiemlak.com/emlak-ofisi/mansiontr-8272","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/7/2/8/0/0/e546bec2-02b3-4468-a606-3a9ed79141b4.jpg","Ipek
          Karaca",""
"https://www.hepsiemlak.com/istanbul-sisli-harbiye-kiralik/daire/29818-433","60","250.000","08-05-2025","Kiralık Daire","3 +
                          1","150 m²","40
                        Yaşında","4. Kat","İstanbul / Şişli / Harbiye Mah.","https://www.hepsiemlak.com/emlak-ofisi/bizz-gayrimenkul-29818/hale-ortaaslan-2500105","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Bizz Gayrimenkul","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/0/1/0/0/5/2/1ee4988a-89ff-445e-b632-e63504875b68.png","https://www.hepsiemlak.com/emlak-ofisi/bizz-gayrimenkul-29818","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/1/8/9/2/0/69968d3d-78e1-45e6-a89a-514c425b4b07.jpg","Hale
          Ortaaslan",""
"https://www.hepsiemlak.com/istanbul-beylikduzu-kavakli-kiralik/villa/139520-162","31","75.000","08-05-2025","Kiralık Villa","7 +
                          2","750 m²","25
                        Yaşında","","İstanbul / Beylikdüzü / Kavaklı Mah.","https://www.hepsiemlak.com/emlak-ofisi/1453-gayrimenkul-yatirim-139520","https://hecdn01.hemlak.com/img/eids-logo-mini.png","1453 Gayrimenkul Yatırım","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/9/5/9/0/0/5/4/4/1745069087079-44500959.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/2/5/9/3/1/ccec5993-1e06-4b8a-b503-c35e258939c0.jpg","",""
"https://www.hepsiemlak.com/istanbul-cekmekoy-catalmese-kiralik/daire/54389-2638","13","22.000","08-05-2025","Kiralık Daire","2 +
                          1","80 m²","8
                        Yaşında","2. Kat","İstanbul / Çekmeköy / Çatalmeşe Mah.","https://www.hepsiemlak.com/emlak-ofisi/rookz-trend-54389/cihat-emrullah-simsek-1020805","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Rookz Trend","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/1/8/8/2/4/4/4/1743936482813-44428810.jpg","https://www.hepsiemlak.com/emlak-ofisi/rookz-trend-54389","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/0/8/0/2/0/1/0746cdd0-e308-4ddf-8213-b5c13909f075.jpg","Cihat Emrullah
          Şimşek",""
"https://www.hepsiemlak.com/istanbul-besiktas-akat-kiralik/daire/119756-785","1","68.000","05-05-2025","Kiralık Daire","3 +
                          1","124 m²","34
                        Yaşında","6. Kat","İstanbul / Beşiktaş / Akat Mah.","https://www.hepsiemlak.com/emlak-ofisi/area-danismanlik-119756","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Area Danışmanlık","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/4/1/2/5/4/5/4/4/18520db5-6e72-4709-8380-42651c0d53a5.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/5/7/9/1/1/9bd0fcc6-d4c0-4328-b137-3e6825b3e14b.jpg","",""
"https://www.hepsiemlak.com/istanbul-sisli-mesrutiyet-kiralik/daire/8272-26688","31","45.000","08-05-2025","Kiralık Daire","3 +
                          1","110 m²","21
                        Yaşında","5. Kat","İstanbul / Şişli / Meşrutiyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/mansiontr-8272/hakan-ekenel-3919248","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Mansıontr","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/9/4/2/4/6/5/4/4/dbf45011b493c9a26c40eb488e64bc4b6a6bd7ac56769eb9ebee7effc6412bc4ae40b5fdc9e58d4604eb78d9c524667e.jpg","https://www.hepsiemlak.com/emlak-ofisi/mansiontr-8272","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/4/2/9/1/9/3/c0277574-964a-43e1-9ef6-7e0e742c7968.jpg","Hakan 
          Ekenel",""
"https://www.hepsiemlak.com/istanbul-sisli-mesrutiyet-kiralik/residence/8272-26595","22","55.000","08-05-2025","Kiralık Residence","1 +
                          1","80 m²","21
                        Yaşında","2. Kat","İstanbul / Şişli / Meşrutiyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/mansiontr-8272/hakan-ekenel-3919248","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Mansıontr","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/5/9/7/0/9/5/3/4/8b37b764-eb9d-499f-92a7-d9c910aea86c.jpeg","https://www.hepsiemlak.com/emlak-ofisi/mansiontr-8272","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/4/2/9/1/9/3/c0277574-964a-43e1-9ef6-7e0e742c7968.jpg","Hakan 
          Ekenel",""
"https://www.hepsiemlak.com/istanbul-sisli-mesrutiyet-kiralik/daire/8272-26695","19","60.000","08-05-2025","Kiralık Daire","2 +
                          1","90 m²","26
                        Yaşında","1. Kat","İstanbul / Şişli / Meşrutiyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/mansiontr-8272/hakan-ekenel-3919248","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Mansıontr","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/1/4/1/8/5/4/4/2b0ee38d02bcbdae22a6f52156e7d1a974f8101a78064df957162867b4e50759468537b7369d74535a36465358c40ef0.jpg","https://www.hepsiemlak.com/emlak-ofisi/mansiontr-8272","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/4/2/9/1/9/3/c0277574-964a-43e1-9ef6-7e0e742c7968.jpg","Hakan 
          Ekenel",""
"https://www.hepsiemlak.com/istanbul-beylikduzu-buyuksehir-kiralik/daire/142831-157","52","27.000","08-05-2025","Kiralık Daire","3 +
                          1","110 m²","25
                        Yaşında","11. Kat","İstanbul / Beylikdüzü / Büyükşehir Mah.","https://www.hepsiemlak.com/emlak-ofisi/mysia-gayrimenkul-beylikduzu-142831","https://hecdn01.hemlak.com/img/eids-logo-mini.png","Mysia Gayrimenkul Beylikdüzü","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","EİDS onaylı","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/1/6/8/3/8/5/4/4/1746532506-71517-44583861.jpeg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/3/8/2/4/1/8db1b6d7-4bda-4867-9b72-1b1e4b88243f.jpg","",""
