"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-location","img-wrp href","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3","listing-card--owner-info__firm-name","listing-card--owner-info__name","he-lazy-image src 4","list-view-header"
"https://www.hepsiemlak.com/ankara-cankaya-kavaklidere-kiralik/daire/13861-2812","39","72.500","28-04-2025","Kiralık Daire","2 +
                          1","95 m²","Sıfır Bina","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Çankaya / Kavaklıdere Mah.","https://www.hepsiemlak.com/emlak-ofisi/ip-gayrimenkul-istiklalpoyraz-13861/istiklal-poyraz-13861","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/1/6/8/3/1/0/c701cb7c-559b-456c-b6d6-eadf53029134.jpg","https://www.hepsiemlak.com/emlak-ofisi/ip-gayrimenkul-istiklalpoyraz-13861","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/6/8/3/1/0/f06ff9ec-2cc9-47ab-9f85-6d2f83c26a61.jpg","İp Gayrimenkul İstiklalpoyraz","İstiklal
          Poyraz","",""
"https://www.hepsiemlak.com/ankara-cankaya-kavaklidere-kiralik/daire/13861-2811","45","62.500","28-04-2025","Kiralık Daire","1 +
                          1","65 m²","Sıfır Bina","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Çankaya / Kavaklıdere Mah.","https://www.hepsiemlak.com/emlak-ofisi/ip-gayrimenkul-istiklalpoyraz-13861/istiklal-poyraz-13861","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/1/6/8/3/1/0/c701cb7c-559b-456c-b6d6-eadf53029134.jpg","https://www.hepsiemlak.com/emlak-ofisi/ip-gayrimenkul-istiklalpoyraz-13861","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/6/8/3/1/0/f06ff9ec-2cc9-47ab-9f85-6d2f83c26a61.jpg","İp Gayrimenkul İstiklalpoyraz","İstiklal
          Poyraz","",""
"https://www.hepsiemlak.com/ankara-cankaya-kavaklidere-kiralik/daire/13861-2828","38","46.500","28-04-2025","Kiralık Daire","1 +
                          1","65 m²","Sıfır Bina","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Çankaya / Kavaklıdere Mah.","https://www.hepsiemlak.com/emlak-ofisi/ip-gayrimenkul-istiklalpoyraz-13861/istiklal-poyraz-13861","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/1/6/8/3/1/0/c701cb7c-559b-456c-b6d6-eadf53029134.jpg","https://www.hepsiemlak.com/emlak-ofisi/ip-gayrimenkul-istiklalpoyraz-13861","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/1/6/8/3/1/0/f06ff9ec-2cc9-47ab-9f85-6d2f83c26a61.jpg","İp Gayrimenkul İstiklalpoyraz","İstiklal
          Poyraz","",""
"https://www.hepsiemlak.com/ankara-cankaya-yukari-bahcelievler-kiralik/daire/4459-2013","37","30.000","08-05-2025","Kiralık Daire","3 +
                          1","115 m²","35
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Çankaya / Yukarı Bahçelievler Mah.","https://www.hepsiemlak.com/emlak-ofisi/erhan-emlak-gayrimenkul-ve-danismanlik-4459/erhan-bayraktar-4459","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/0/1/5/0/3/3/4/1725342107993-43305102.jpg","https://www.hepsiemlak.com/emlak-ofisi/erhan-emlak-gayrimenkul-ve-danismanlik-4459","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/5/4/4/0/0/662bc79a-c3bd-4c48-87ee-5a90f372fe8c.jpg","Erhan Emlak Gayrimenkul Ve Danışmanlık","Erhan
          Bayraktar","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/9/5/4/4/0/0/73443e87-fc7e-4e40-b9c9-20528b235029.jpg",""
"https://www.hepsiemlak.com/ankara-altindag-dogantepe-kiralik/daire/24968-73","19","25.000","04-05-2025","Kiralık Daire","3 +
                          1","105 m²","Sıfır Bina","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Altındağ / Doğantepe Mah.","https://www.hepsiemlak.com/emlak-ofisi/gunes-emlak-24968/metin-kahraman-24968","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/3/7/6/5/5/4/4/8ea11271-3f1b-4f3f-81a1-8d9897db00b8.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/8/6/9/4/2/0/73b128e8-3683-495b-bfdb-c59301fd3f6a.jpg","Güneş Emlak","Metin
          Kahraman","",""
"https://www.hepsiemlak.com/ankara-cankaya-oran-kiralik/daire/129908-1104","35","25.000","08-05-2025","Kiralık Daire","1 +
                          1","45 m²","Sıfır Bina","Giriş Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Çankaya / Oran Mah.","https://www.hepsiemlak.com/emlak-ofisi/mulk-merkezi-gayrimenkul-129908","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/8/1/4/5/0/4/4/4/20daf291-17ca-438e-951b-4c3b2ebe4415.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/8/0/9/9/2/1/2e4d8451-5893-4aac-9b08-c5995f1e6079.jpg","Mülk Merkezi Gayrimenkul","","",""
"https://www.hepsiemlak.com/ankara-cankaya-emek-kiralik/daire/115697-545","15","25.000","08-05-2025","Kiralık Daire","2 +
                          1","80 m²","38
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Çankaya / Emek Mah.","https://www.hepsiemlak.com/emlak-ofisi/onur-emlak-115697/onur-arikan-2500575","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/2/8/3/3/7/4/1/4/418bebe8-aa75-44db-a144-1de4326cbdfb.jpg","https://www.hepsiemlak.com/emlak-ofisi/onur-emlak-115697","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/5/7/5/0/0/5/2/dcb66a5b-04ca-46fa-b499-2819a4c6ac15.jpg","Onur Emlak","Onur
          Arıkan","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/9/6/5/1/1/c1a997e5-7ca6-423b-a918-a16745dcf2e9.png",""
"https://www.hepsiemlak.com/ankara-cankaya-keklik-pinari-kiralik/daire/36660-14","49","35.000","29-04-2025","Kiralık Daire","4 +
                          1","170 m²","17
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Çankaya / Keklik Pınarı Mah.","https://www.hepsiemlak.com/emlak-ofisi/ata-evim-gayrimenkul-36660/recep-tokmak-745072","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/0/4/2/0/9/4/4/4/b56101c1-997d-4708-9d11-12ffd2308599.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/7/0/5/4/7/1c87f41f-6f75-4a32-ab4d-8031e206225e.jpg","Ata Evim Gayrimenkul","Recep
          Tokmak","",""
"https://www.hepsiemlak.com/ankara-cankaya-yukari-bahcelievler-kiralik/daire/25987-2228","15","25.000","06-05-2025","Kiralık Daire","1 +
                          1","60 m²","Sıfır Bina","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ankara / Çankaya / Yukarı Bahçelievler Mah.","https://www.hepsiemlak.com/emlak-ofisi/han-emlak-25987/fazil-koyunpinar-25987","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/3/7/0/3/3/4/4/4/2de1778f-b263-4ce7-af48-e70713c36616.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/7/8/9/5/2/0/d071eec6-618d-467f-9d4b-285301c0d2a3.png","Han Emlak","Fazıl
          Koyunpınar","",""
"https://www.hepsiemlak.com/ankara-yenimahalle-emniyet-kiralik/daire/122234-813","24","55.000","03-04-2025","Kiralık Daire","2 +
                          1","126 m²","1
                        Yaşında","Ara Kat","","","","Ankara / Yenimahalle / Emniyet Mah.","https://www.hepsiemlak.com/emlak-ofisi/next-level-emlak-122234","https://hecdn01.hemlak.com/mncropresize/280/210/ds01/4/9/6/3/1/3/4/4/f91bf6b2-ce57-4f3d-8102-3e484b17f587.jpg","","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/4/3/2/2/2/1/b5a08a69-10c8-4350-92fb-38851860b159.jpg","Next Level Emlak","","",""
