"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","he-lazy-image src 3","listing-card--owner-info__firm-name"
"https://www.hepsiemlak.com/konya-selcuklu-yazir-kiralik/daire/4499-252","40","38.000","08-05-2025","Kiralık Daire","2 +
                          1","131 m²","4
                        Yaşında","4. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Ünlü Emlak'da Selçuklu Yazırda Naturapark'ta Kiralık 2+1 Daire","Konya / Selçuklu / Yazır Mah.","","","",""
"https://www.hepsiemlak.com/konya-eregli-toros-kiralik/daire/139936-388","13","12.000","08-05-2025","Kiralık Daire","1 +
                          1","75 m²","Sıfır Bina","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Toros Mahallesinde 2+0  Kiralik Daire Üniversitelere Yürüme Mesafesinde","Konya / Ereğli / Toros Mah.","https://www.hepsiemlak.com/emlak-ofisi/vizyon-gayrimenkul-danismanligi-139936/halil-ibrahim-ogun-volkan-cetinkaya-3917532","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/3/5/7/1/9/3/0aa59a0b-00e5-4df7-b327-4fbd7704040e.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/3/9/9/3/1/2d020726-3d04-41c0-be06-5c06abb9e8ad.jpg","Vizyon Gayrimenkul Danışmanlığı"
"https://www.hepsiemlak.com/konya-eregli-toros-kiralik/daire/139936-414","9","12.000","06-05-2025","Kiralık Daire","1 +
                          1","65 m²","5
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Toros Mahallesi Hastane Yani Alışveriş Merkezi Ve Eczanelere Yakın Konumda 1+1 Eşyalı Kiralık Daire","Konya / Ereğli / Toros Mah.","https://www.hepsiemlak.com/emlak-ofisi/vizyon-gayrimenkul-danismanligi-139936/halil-ibrahim-ogun-volkan-cetinkaya-3917532","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/2/3/5/7/1/9/3/0aa59a0b-00e5-4df7-b327-4fbd7704040e.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/6/3/9/9/3/1/2d020726-3d04-41c0-be06-5c06abb9e8ad.jpg","Vizyon Gayrimenkul Danışmanlığı"
"https://www.hepsiemlak.com/konya-selcuklu-kosova-kiralik/daire/144193-129","18","22.000","08-05-2025","Kiralık Daire","2 +
                          1","100 m²","Sıfır Bina","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kosova Mahallesinde Yüksek Giriş 2+1 Daire","Konya / Selçuklu / Kosova Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/9/5/9/6/9/5/4/4/1746707587595-44596959.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-beyhekim-kiralik/daire/99983-1104","25","21.000","08-05-2025","Kiralık Daire","2 +
                          1","110 m²","6
                        Yaşında","4. Kat","","","","Emrah Çiftci'den Selçuklu Yazır Mah.Şafak Cad.Üzeri Kiralık 2+1 Lüks Daire","Konya / Selçuklu / Beyhekim Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/0/0/7/9/5/4/4/05a683d1-07f4-4b9e-88f2-1428f364bbe0.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-yazir-kiralik/daire/57166-1988","9","24.000","08-05-2025","Kiralık Daire","3 +
                          1","170 m²","15
                        Yaşında","6. Kat","","","","İsa Kavak'tan Kiralık 3+1","Konya / Selçuklu / Yazır Mah.","https://www.hepsiemlak.com/emlak-ofisi/isa-kavak-gayrimenkul-57166/isa-kavak-1060006","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/7/5/7/9/5/4/4/1746711943276-44597576.jpg","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","İsa Kavak Gayrimenkul"
"https://www.hepsiemlak.com/konya-karatay-gaziosmanpasa-kiralik/daire/132907-627","24","24.000","08-05-2025","Kiralık Daire","3 +
                          1","120 m²","6
                        Yaşında","Ara Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Dev Gayrimenkulden Adliye Şehir Hastanesi Yakını Kiralık 3+1 Daire","Konya / Karatay / Gaziosmanpaşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/dev-gayrimenkul-132907","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/5/9/4/9/5/4/4/1746694050-242588-44594950.jpeg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/7/0/9/2/3/1/1a5aad93-52cb-4fb2-ba57-cadcf082be1a.jpg","Dev Gayrimenkul"
"https://www.hepsiemlak.com/konya-eregli-gulbahce-kiralik/daire/0-44595856","16","14.000","08-05-2025","Kiralık Daire","1 +
                          1","45 m²","2
                        Yaşında","Yüksek Giriş","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Sahibinden 1+1 Eşyalı Daire","Konya / Ereğli / Gülbahçe Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/5/8/5/9/5/4/4/1746699820502-44595856.jpg","",""
"https://www.hepsiemlak.com/konya-selcuklu-husamettin-celebi-kiralik/daire/125652-1422","60","20.000","08-05-2025","Kiralık Daire","3 +
                          1","155 m²","Sıfır Bina","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","💫  Hüsamettin Çelebi Mahallesinde Arakat 3+1 Kiralık Daire 🔥","Konya / Selçuklu / Hüsamettin Çelebi Mah.","https://www.hepsiemlak.com/emlak-ofisi/isyapar-gayrimenkul-125652","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/2/8/1/9/5/4/4/0695a819-6a73-4abd-828e-c7b8b18e7742.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/2/5/6/5/2/1/11c02bde-5f32-46be-8c13-4d19c1fb87a7.jpg","İşyapar Gayrimenkul"
"https://www.hepsiemlak.com/konya-meram-konevi-kiralik/daire/22559-514","60","19.000","08-05-2025","Kiralık Daire","2 +
                          1","130 m²","35
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Anıt Civarı Kolay Ulaşım Merkezde 2+1 Civan Sitesi Sağlık Ocağı Karşısı 40 M2 Salon","Konya / Meram / Konevi Mah.","https://www.hepsiemlak.com/emlak-ofisi/cankayam-emlak-22559/asir-bekmezci-22559","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/9/8/9/7/5/4/4/1746469856737-44579891.jpg","https://hecdnnw.hemlak.com/mncropresize/77/67/firmuser/9/5/5/2/2/0/a5f87611-1654-43ec-91fe-a2fb270a49b8.jpg","Çankayam Emlak"
